day,aliveAnimals,emptyFields,dominantGenes,averageEnergy,averageLifeLength,averageNumberOfChildren
1,51,1427,[6 7 6 7 7 6 6 2 4 1 5 1 7 3 2 1 2 2 6 4],97.05882352941177,0.0,0.0392156862745098
2,52,1405,[6 2 4 5 1 0 6 0 2 6 5 3 6 6 7 2 5 4 4 0],94.21153846153847,0.0,0.07692307692307693
3,52,1385,[6 2 4 5 1 0 6 0 2 6 5 3 6 6 7 2 5 4 4 0],93.59615384615384,0.0,0.07692307692307693
4,52,1367,[6 2 4 5 1 0 6 0 2 6 5 3 6 6 7 2 5 4 4 0],93.75,0.0,0.07692307692307693
5,54,1354,[6 2 4 5 1 0 6 0 2 6 5 3 6 6 7 2 5 4 4 0],90.05555555555556,0.0,0.14814814814814814
6,55,1334,[6 2 4 5 1 0 6 0 2 6 5 3 6 6 7 2 5 4 4 0],89.25454545454545,0.0,0.18181818181818182
7,55,1317,[6 2 4 5 1 0 6 0 2 6 5 3 6 6 7 2 5 4 4 0],89.7090909090909,0.0,0.18181818181818182
8,55,1299,[6 2 4 5 1 0 6 0 2 6 5 3 6 6 7 2 5 4 4 0],90.16363636363636,0.0,0.18181818181818182
9,56,1282,[6 2 4 5 1 0 6 0 2 6 5 3 6 6 7 2 5 4 4 0],88.28571428571429,0.0,0.21428571428571427
10,57,1268,[6 2 4 5 1 0 6 0 2 6 5 3 6 6 7 2 5 4 4 0],87.85964912280701,0.0,0.24561403508771928
11,60,1255,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],84.18333333333334,0.0,0.3333333333333333
12,60,1235,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],85.85,0.0,0.3333333333333333
13,60,1225,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],87.18333333333334,0.0,0.3333333333333333
14,61,1207,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],85.75409836065573,0.0,0.36065573770491804
15,62,1194,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],85.64516129032258,0.0,0.3870967741935484
16,62,1183,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],86.58064516129032,0.0,0.3870967741935484
17,63,1170,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],87.39682539682539,0.0,0.4126984126984127
18,64,1155,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],86.921875,0.0,0.4375
19,64,1141,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],88.734375,0.0,0.4375
20,67,1138,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],87.38805970149254,0.0,0.5074626865671642
21,67,1121,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],88.17910447761194,20.0,0.5373134328358209
22,66,1107,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],90.92424242424242,20.0,0.5454545454545454
23,67,1099,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],91.86567164179104,20.0,0.5671641791044776
24,70,1098,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],91.25714285714285,20.0,0.6285714285714286
25,71,1091,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],93.21126760563381,20.0,0.704225352112676
26,72,1087,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],95.09722222222223,20.0,0.75
27,74,1083,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],96.41891891891892,20.0,0.7837837837837838
28,74,1074,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],100.01351351351352,20.0,0.7837837837837838
29,76,1075,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],100.09210526315789,20.0,0.8421052631578947
30,78,1068,[0 1 2 7 0 6 1 3 6 6 2 2 4 5 2 7 5 2 7 1],101.16666666666667,20.0,0.8717948717948718
31,78,1070,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],105.8076923076923,20.0,0.9230769230769231
32,79,1069,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],108.79746835443038,20.0,0.9367088607594937
33,80,1073,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],111.45,20.0,0.95
34,82,1071,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],112.63414634146342,20.0,0.975609756097561
35,83,1063,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],114.62650602409639,20.0,0.9879518072289156
36,85,1057,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],115.4235294117647,20.0,1.011764705882353
37,85,1053,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],118.89411764705882,20.0,1.011764705882353
38,85,1054,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],121.89411764705882,20.0,1.011764705882353
39,85,1050,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],125.83529411764705,20.0,1.011764705882353
40,86,1059,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],129.43023255813952,20.0,1.069767441860465
41,88,1059,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],130.2840909090909,20.0,1.0909090909090908
42,89,1058,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],131.87640449438203,20.0,1.101123595505618
43,93,1051,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],128.04301075268816,20.0,1.1397849462365592
44,94,1042,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],129.5212765957447,20.0,1.148936170212766
45,97,1046,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],128.8762886597938,20.0,1.175257731958763
46,103,1045,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],124.11650485436893,20.0,1.2233009708737863
47,107,1046,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],123.0,20.0,1.2523364485981308
48,109,1040,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],124.1651376146789,20.0,1.2660550458715596
49,112,1044,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],124.15178571428571,20.0,1.3035714285714286
50,111,1046,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],128.94594594594594,20.0,1.3153153153153154
51,112,1051,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],130.375,20.0,1.3392857142857142
52,115,1049,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],130.0,20.0,1.3565217391304347
53,117,1055,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],131.5811965811966,20.0,1.3846153846153846
54,120,1058,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],131.31666666666666,20.0,1.4
55,127,1049,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],125.18110236220473,20.0,1.4330708661417322
56,130,1047,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],124.3923076923077,20.0,1.4615384615384615
57,136,1045,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],121.4779411764706,20.0,1.4852941176470589
58,141,1043,[1 4 6 7 7 0 3 2 1 4 5 5 2 3 5 5 2 2 6 4],119.32624113475177,21.25,1.5177304964539007
59,147,1047,[1 4 6 7 7 0 3 2 1 4 5 5 2 3 5 5 2 2 6 4],117.03401360544218,21.25,1.5374149659863945
60,152,1043,[1 4 6 7 7 0 3 2 1 4 5 5 2 3 5 5 2 2 6 4],115.50657894736842,23.333333333333332,1.5526315789473684
61,156,1037,[1 4 6 7 7 0 3 2 1 4 5 5 2 3 5 5 2 2 6 4],114.00641025641026,23.333333333333332,1.564102564102564
62,159,1043,[1 4 6 7 7 0 3 2 1 4 5 5 2 3 5 5 2 2 6 4],113.76729559748428,23.333333333333332,1.5723270440251573
63,160,1047,[1 4 6 7 7 0 3 2 1 4 5 5 2 3 5 5 2 2 6 4],115.4375,23.0,1.6
64,168,1052,[1 4 6 7 7 0 3 2 1 4 5 5 2 3 5 5 2 2 6 4],112.20238095238095,23.0,1.619047619047619
65,172,1054,[4 5 6 6 7 3 7 2 1 2 5 1 0 6 1 3 7 4 3 0],111.63953488372093,22.857142857142858,1.6395348837209303
66,175,1051,[4 5 6 6 7 3 7 2 1 2 5 1 0 6 1 3 7 4 3 0],111.6,22.608695652173914,1.6685714285714286
67,178,1048,[4 5 6 6 7 3 7 2 1 2 5 1 0 6 1 3 7 4 3 0],110.75842696629213,22.4,1.696629213483146
68,184,1051,[4 5 6 6 7 3 7 2 1 2 5 1 0 6 1 3 7 4 3 0],109.54891304347827,22.4,1.7065217391304348
69,196,1060,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],103.9438775510204,22.307692307692307,1.7346938775510203
70,200,1055,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],103.585,27.333333333333332,1.69
71,209,1064,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],100.7511961722488,27.096774193548388,1.7129186602870814
72,215,1057,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],99.29302325581395,27.096774193548388,1.7209302325581395
73,224,1067,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],96.48660714285714,26.875,1.7410714285714286
74,229,1056,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],95.8471615720524,26.666666666666668,1.755458515283843
75,235,1059,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],94.38297872340425,26.285714285714285,1.778723404255319
76,237,1063,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],95.12658227848101,26.31578947368421,1.8059071729957805
77,248,1065,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],91.56451612903226,26.153846153846153,1.8225806451612903
78,255,1062,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],90.03921568627452,26.0,1.8352941176470587
79,260,1071,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],89.40384615384616,25.853658536585368,1.8461538461538463
80,264,1068,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],88.57954545454545,28.93617021276596,1.8484848484848484
81,271,1056,[3 6 5 7 6 4 1 4 7 4 6 6 5 4 5 5 2 7 1 6],86.5719557195572,28.93617021276596,1.8523985239852399
82,279,1049,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],84.40860215053763,29.166666666666668,1.8566308243727598
83,292,1038,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],81.13356164383562,29.166666666666668,1.8630136986301369
84,297,1044,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],80.67003367003367,30.0,1.861952861952862
85,303,1059,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],79.74257425742574,29.464285714285715,1.8844884488448845
86,308,1058,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],79.15259740259741,29.137931034482758,1.8993506493506493
87,316,1054,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],77.69303797468355,28.983050847457626,1.9082278481012658
88,319,1050,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],77.10031347962382,28.28125,1.9404388714733543
89,322,1047,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],76.94409937888199,27.714285714285715,1.9751552795031055
90,328,1046,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],75.95731707317073,27.2972972972973,2.0
91,334,1045,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],74.86826347305389,27.01298701298701,2.0179640718562872
92,337,1039,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],74.33827893175074,26.987951807228917,2.0415430267062313
93,340,1040,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],73.80882352941177,26.7816091954023,2.0617647058823527
94,341,1041,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],74.12023460410558,26.630434782608695,2.0791788856304985
95,347,1040,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],73.0086455331412,26.288659793814432,2.106628242074928
96,354,1035,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.60169491525424,26.274509803921568,2.1242937853107344
97,358,1040,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.60055865921788,26.095238095238095,2.1396648044692737
98,365,1037,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.45205479452055,25.925925925925927,2.1534246575342464
99,371,1040,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.1078167115903,26.0,2.169811320754717
100,371,1040,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.5633423180593,26.065573770491802,2.2048517520215634
101,376,1048,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.07446808510639,26.03174603174603,2.2127659574468086
102,374,1042,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.94117647058823,25.833333333333332,2.2433155080213902
103,370,1050,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],72.04864864864865,25.571428571428573,2.2864864864864867
104,373,1060,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.49597855227881,25.34246575342466,2.316353887399464
105,375,1067,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.08,25.22875816993464,2.3466666666666667
106,375,1063,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.30666666666667,25.5625,2.3653333333333335
107,381,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.51181102362204,25.952380952380953,2.3622047244094486
108,383,1066,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.24543080939948,25.852272727272727,2.3890339425587466
109,387,1068,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],69.9250645994832,25.833333333333332,2.405684754521964
110,383,1070,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.8981723237598,26.787564766839377,2.436031331592689
111,385,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.67792207792208,26.683417085427134,2.4545454545454546
112,389,1075,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.19537275064268,26.634146341463413,2.473007712082262
113,386,1076,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.02849740932642,26.666666666666668,2.5129533678756477
